"column_name","column_value","value_description","value_details"
"vendor_id",1,"Creative Mobile Technologies, LLC",
"vendor_id",2,"Curb Mobility, LLC",
"vendor_id",4,,
"vendor_id",5,,
"vendor_id",6,"Myle Technologies Inc",
"vendor_id",7,"Helix",
"rate_code_id",1,"Standard rate",
"rate_code_id",2,"JFK",
"rate_code_id",3,"Newark",
"rate_code_id",4,"Nassau or Westchester",
"rate_code_id",5,"Negotiated fare",
"rate_code_id",6,"Group ride",
"rate_code_id",99,"Null/unknown",
"store_forward_flag",0,"Store and forward trip",
"store_forward_flag",1,"Not a store and forward trip",
"payment_type_id",0,"Flex Fare trip",
"payment_type_id",1,"Credit card",
"payment_type_id",2,"Cash",
"payment_type_id",3,"No charge",
"payment_type_id",4,"Dispute",
"payment_type_id",5,"Unknown",
"payment_type_id",6,"Voided trip",
"season",1,"Spring","month 3, 4, 5"
"season",2,"Summer","month 6, 7, 8"
"season",3,"Fall","month 9, 10, 11"
"season",4,"Winter","month 12, 1, 2"
"month",1,"January",
"month",2,"February",
"month",3,"March",
"month",4,"April",
"month",5,"May",
"month",6,"June",
"month",7,"July",
"month",8,"August",
"month",9,"September",
"month",10,"October",
"month",11,"November",
"month",12,"December",
"dow",1,"Monday",
"dow",2,"Tuesday",
"dow",3,"Wednesday",
"dow",4,"Thursday",
"dow",5,"Friday",
"dow",6,"Saturday",
"dow",7,"Sunday",
"period",1,"Early Morning","hour 5, 6, 7"
"period",2,"Morning Peak","hour 8, 9"
"period",3,"Midday","hour 10, 11, 12, 13, 14, 15"
"period",4,"Afternoon Peak","hour 16, 17, 18"
"period",5,"Evening","hour 19, 20, 21"
"period",6,"Night","hour 22, 23"
"period",7,"Late Night","hour 0, 1, 2, 3, 4"
